Identifier,StructureData,Polymer EntityData,,,
Entry ID,Stucture Keywords,Entity Polymer Type,Asym ID,Source Organism,
"1A9L","RNA","RNA","A"
,,"Protein","XC","Saccharomyces cerevisiae S288C"
,,,"W"
,,"Protein","X","Saccharomyces cerevisiae S288C"
,,,"YC"
,,"Protein","ZC","Saccharomyces cerevisiae S288C"
,,,"Y"
,,"Protein","AD","Saccharomyces cerevisiae S288C"
,,,"Z"
,,"Protein","AA","Saccharomyces cerevisiae S288C"
,,,"BD"
,,"Protein","BA","Saccharomyces cerevisiae S288C"
,,,"CD"
,,"Protein","DD","Saccharomyces cerevisiae S288C"
,,,"CA"
,,"Protein","ED","Saccharomyces cerevisiae S288C"
,,,"DA"
,,"Protein","FD","Saccharomyces cerevisiae S288C"
,,,"EA"
,,"Protein","FA","Saccharomyces cerevisiae S288C"
,,"Protein","GA","Saccharomyces cerevisiae S288C"
,,"Protein","ID","Saccharomyces cerevisiae S288C"
,,,"HA"
,,"Protein","JD","Saccharomyces cerevisiae S288C"
,,,"IA"
,,"RNA","KD","Saccharomyces cerevisiae S288C"
,,,"JA"
,,"RNA","KA","Saccharomyces cerevisiae S288C"
,,,"LD"
,,"RNA","LA","Saccharomyces cerevisiae S288C"
,,,"MD"
,,"Protein","MA","Saccharomyces cerevisiae S288C"
,,,"ND"
,,"Protein","NA","Saccharomyces cerevisiae S288C"
,,,"OD"
,,"Protein","PD","Saccharomyces cerevisiae S288C"
,,,"OA"
,,"Protein","PA","Saccharomyces cerevisiae S288C"
,,,"QD"
,,"Protein","QA","Saccharomyces cerevisiae S288C"
,,,"RD"
,,"Protein","RA","Saccharomyces cerevisiae S288C"
,,,"SD"
,,"Protein","TD","Saccharomyces cerevisiae S288C"
,,,"SA"
,,"Protein","TA","Saccharomyces cerevisiae S288C"
,,,"UD"
,,"Protein","VD","Saccharomyces cerevisiae S288C"
,,,"UA"
,,"Protein","VA","Saccharomyces cerevisiae S288C"
,,,"WD"
,,"Protein","YD","Saccharomyces cerevisiae S288C"
,,,"WA"
,,"Protein","ZD","Saccharomyces cerevisiae S288C"
,,,"XA"
,,"Protein","AE","Saccharomyces cerevisiae S288C"
,,,"YA"
,,"Protein","ZA","Saccharomyces cerevisiae S288C"
,,,"BE"
,,"Protein","AB","Saccharomyces cerevisiae S288C"
,,,"CE"
,,"Protein","BB","Saccharomyces cerevisiae S288C"
,,,"DE"
,,"Protein","EE","Saccharomyces cerevisiae S288C"
,,,"CB"
,,"Protein","DB","Saccharomyces cerevisiae S288C"
,,,"FE"
,,"Protein","EB","Saccharomyces cerevisiae S288C"
,,,"GE"
,,"Protein","FB","Saccharomyces cerevisiae S288C"
,,,"HE"
,,"Protein","IE","Saccharomyces cerevisiae S288C"
,,,"GB"
,,"Protein","HB","Saccharomyces cerevisiae S288C"
,,,"JE"
,,"Protein","IB","Saccharomyces cerevisiae S288C"
,,,"KE"
,,"Protein","JB","Saccharomyces cerevisiae S288C"
,,,"LE"
,,"Protein","KB","Saccharomyces cerevisiae S288C"
,,,"ME"
,,"Protein","LB","Saccharomyces cerevisiae S288C"
,,,"NE"
,,"Protein","MB","Saccharomyces cerevisiae S288C"
,,,"OE"
,,"Protein","PE","Saccharomyces cerevisiae S288C"
,,,"NB"
,,"Protein","OB","Saccharomyces cerevisiae S288C"
,,,"QE"
,,"Protein","PB","Saccharomyces cerevisiae S288C"
,,,"RE"
,,"Protein","QB","Saccharomyces cerevisiae S288C"
,,,"SE"
,,"Protein","RB","Saccharomyces cerevisiae S288C"
,,,"TE"
,,"Protein","SB","Saccharomyces cerevisiae S288C"
,,,"UE"
,,"Protein","TB","Saccharomyces cerevisiae S288C"
,,,"VE"
,,"Protein","WE","Saccharomyces cerevisiae S288C"
,,,"UB"
,,"Protein","XE","Saccharomyces cerevisiae S288C"
,,,"VB"
,,"Protein","WB","Saccharomyces cerevisiae S288C"
,,,"YE"
,,"Protein","XB","Saccharomyces cerevisiae S288C"
,,,"ZE"
,,"Protein","YB","Saccharomyces cerevisiae S288C"
,,,"AF"
,,"Protein","BF","Saccharomyces cerevisiae S288C"
,,,"ZB"
,,"Protein","AC","Saccharomyces cerevisiae S288C"
,,,"CF"
,,"Protein","MC","Saccharomyces cerevisiae S288C"
,,"Protein","GD","Saccharomyces cerevisiae S288C"
,,"Protein","HD","Saccharomyces cerevisiae S288C"
,,"Protein","XD","Saccharomyces cerevisiae S288C"
,,"Protein","DF","Saccharomyces cerevisiae S288C"
,,"Protein","EF","Saccharomyces cerevisiae S288C"
,,"Protein","FF","Saccharomyces cerevisiae S288C"
"4U3U","RIBOSOME","RNA","A","Saccharomyces cerevisiae S288C"
,,,"BC"
,,"Protein","B","Saccharomyces cerevisiae S288C"
,,,"CC"
,,"Protein","C","Saccharomyces cerevisiae S288C"
,,,"DC"
,,"Protein","EC","Saccharomyces cerevisiae S288C"
,,,"D"
,,"Protein","E","Saccharomyces cerevisiae S288C"
,,,"FC"
,,"Protein","F","Saccharomyces cerevisiae S288C"
,,,"GC"
,,"Protein","G","Saccharomyces cerevisiae S288C"
,,,"HC"
,,"Protein","H","Saccharomyces cerevisiae S288C"
,,,"IC"
,,"Protein","I","Saccharomyces cerevisiae S288C"
,,,"JC"
,,"Protein","KC","Saccharomyces cerevisiae S288C"
,,,"J"
,,"Protein","K","Saccharomyces cerevisiae S288C"
,,,"LC"
,,"Protein","L","Saccharomyces cerevisiae S288C"
,,,"MC"
,,"Protein","M","Saccharomyces cerevisiae S288C"
,,,"NC"
,,"Protein","N","Saccharomyces cerevisiae S288C"
,,,"OC"
,,"Protein","O","Saccharomyces cerevisiae S288C"
,,,"PC"
,,"Protein","P","Saccharomyces cerevisiae S288C"
,,,"QC"
,,"Protein","Q","Saccharomyces cerevisiae S288C"
,,,"RC"
,,"Protein","R","Saccharomyces cerevisiae S288C"
,,,"SC"
,,"Protein","S","Saccharomyces cerevisiae S288C"
,,,"TC"
,,"Protein","T","Saccharomyces cerevisiae S288C"
,,,"UC"
,,"Protein","U","Saccharomyces cerevisiae S288C"
,,,"VC"
,,"Protein","V","Saccharomyces cerevisiae S288C"
,,,"WC"
,,"Protein","W","Saccharomyces cerevisiae S288C"
,,,"XC"
,,"Protein","X","Saccharomyces cerevisiae S288C"
,,,"YC"
,,"Protein","Y","Saccharomyces cerevisiae S288C"
,,,"ZC"
,,"Protein","AD","Saccharomyces cerevisiae S288C"
,,,"Z"
,,"Protein","AA","Saccharomyces cerevisiae S288C"
,,,"BD"
,,"Protein","BA","Saccharomyces cerevisiae S288C"
,,,"CD"
,,"Protein","DD","Saccharomyces cerevisiae S288C"
,,,"CA"
,,"Protein","ED","Saccharomyces cerevisiae S288C"
,,,"DA"
,,"Protein","EA","Saccharomyces cerevisiae S288C"
,,,"FD"
,,"Protein","FA","Saccharomyces cerevisiae S288C"
,,"Protein","GA","Saccharomyces cerevisiae S288C"
,,"Protein","HA","Saccharomyces cerevisiae S288C"
,,,"ID"
,,"Protein","IA","Saccharomyces cerevisiae S288C"
,,,"JD"
,,"RNA","JA","Saccharomyces cerevisiae S288C"
,,,"KD"
,,"RNA","KA","Saccharomyces cerevisiae S288C"
,,,"LD"
,,"RNA","LA","Saccharomyces cerevisiae S288C"
,,,"MD"
,,"Protein","MA","Saccharomyces cerevisiae S288C"
,,,"ND"
,,"Protein","NA","Saccharomyces cerevisiae S288C"
,,,"OD"
,,"Protein","OA","Saccharomyces cerevisiae S288C"
,,,"PD"
,,"Protein","PA","Saccharomyces cerevisiae S288C"
,,,"QD"
,,"Protein","QA","Saccharomyces cerevisiae S288C"
,,,"RD"
,,"Protein","RA","Saccharomyces cerevisiae S288C"
,,,"SD"
,,"Protein","TD","Saccharomyces cerevisiae S288C"
,,,"SA"
,,"Protein","TA","Saccharomyces cerevisiae S288C"
,,,"UD"
,,"Protein","UA","Saccharomyces cerevisiae S288C"
,,,"VD"
,,"Protein","VA","Saccharomyces cerevisiae S288C"
,,,"WD"
,,"Protein","WA","Saccharomyces cerevisiae S288C"
,,,"YD"
,,"Protein","XA","Saccharomyces cerevisiae S288C"
,,,"ZD"
,,"Protein","AE","Saccharomyces cerevisiae S288C"
,,,"YA"
,,"Protein","BE","Saccharomyces cerevisiae S288C"
,,,"ZA"
,,"Protein","AB","Saccharomyces cerevisiae S288C"
,,,"CE"
,,"Protein","BB","Saccharomyces cerevisiae S288C"
,,,"DE"
,,"Protein","CB","Saccharomyces cerevisiae S288C"
,,,"EE"
,,"Protein","DB","Saccharomyces cerevisiae S288C"
,,,"FE"
,,"Protein","EB","Saccharomyces cerevisiae S288C"
,,,"GE"
,,"Protein","FB","Saccharomyces cerevisiae S288C"
,,,"HE"
,,"Protein","GB","Saccharomyces cerevisiae S288C"
,,,"IE"
,,"Protein","HB","Saccharomyces cerevisiae S288C"
,,,"JE"
,,"Protein","IB","Saccharomyces cerevisiae S288C"
,,,"KE"
,,"Protein","LE","Saccharomyces cerevisiae S288C"
,,,"JB"
,,"Protein","KB","Saccharomyces cerevisiae S288C"
,,,"ME"
,,"Protein","LB","Saccharomyces cerevisiae S288C"
,,,"NE"
,,"Protein","MB","Saccharomyces cerevisiae S288C"
,,,"OE"
,,"Protein","NB","Saccharomyces cerevisiae S288C"
,,,"PE"
,,"Protein","QE","Saccharomyces cerevisiae S288C"
,,,"OB"
,,"Protein","PB","Saccharomyces cerevisiae S288C"
,,,"RE"
,,"Protein","QB","Saccharomyces cerevisiae S288C"
,,,"SE"
,,"Protein","RB","Saccharomyces cerevisiae S288C"
,,,"TE"
,,"Protein","SB","Saccharomyces cerevisiae S288C"
,,,"UE"
,,"Protein","TB","Saccharomyces cerevisiae S288C"
,,,"VE"
,,"Protein","UB","Saccharomyces cerevisiae S288C"
,,,"WE"
,,"Protein","VB","Saccharomyces cerevisiae S288C"
,,,"XE"
,,"Protein","WB","Saccharomyces cerevisiae S288C"
,,,"YE"
,,"Protein","ZE","Saccharomyces cerevisiae S288C"
,,,"XB"
,,"Protein","AF","Saccharomyces cerevisiae S288C"
,,,"YB"
,,"Protein","BF","Saccharomyces cerevisiae S288C"
,,,"ZB"
,,"Protein","AC","Saccharomyces cerevisiae S288C"
,,,"CF"
,,"Protein","GD","Saccharomyces cerevisiae S288C"
,,"Protein","HD","Saccharomyces cerevisiae S288C"
,,"Protein","XD","Saccharomyces cerevisiae S288C"
,,"Protein","DF","Saccharomyces cerevisiae S288C"
,,"Protein","EF","Saccharomyces cerevisiae S288C"
,,"Protein","FF","Saccharomyces cerevisiae S288C"
"4U4N","RIBOSOME","RNA","BC","Saccharomyces cerevisiae S288C"
,,,"A"
,,"Protein","B","Saccharomyces cerevisiae S288C"
,,,"CC"
,,"Protein","C","Saccharomyces cerevisiae S288C"
,,,"DC"
,,"Protein","D","Saccharomyces cerevisiae S288C"
,,,"EC"
,,"Protein","E","Saccharomyces cerevisiae S288C"
,,,"FC"
,,"Protein","F","Saccharomyces cerevisiae S288C"
,,,"GC"
,,"Protein","HC","Saccharomyces cerevisiae S288C"
,,,"G"
,,"Protein","H","Saccharomyces cerevisiae S288C"
,,,"IC"
,,"Protein","JC","Saccharomyces cerevisiae S288C"
,,,"I"
,,"Protein","J","Saccharomyces cerevisiae S288C"
,,,"KC"
,,"Protein","K","Saccharomyces cerevisiae S288C"
,,,"LC"
,,"Protein","L","Saccharomyces cerevisiae S288C"
,,,"MC"
,,"Protein","NC","Saccharomyces cerevisiae S288C"
,,,"M"
,,"Protein","N","Saccharomyces cerevisiae S288C"
,,,"OC"
,,"Protein","PC","Saccharomyces cerevisiae S288C"
,,,"O"
,,"Protein","P","Saccharomyces cerevisiae S288C"
,,,"QC"
,,"Protein","Q","Saccharomyces cerevisiae S288C"
,,,"RC"
,,"Protein","R","Saccharomyces cerevisiae S288C"
,,,"SC"
,,"Protein","S","Saccharomyces cerevisiae S288C"
,,,"TC"
,,"Protein","T","Saccharomyces cerevisiae S288C"
,,,"UC"
,,"Protein","U","Saccharomyces cerevisiae S288C"
,,,"VC"
,,"Protein","V","Saccharomyces cerevisiae S288C"
,,,"WC"
,,"Protein","XC","Saccharomyces cerevisiae S288C"
,,,"W"
,,"Protein","X","Saccharomyces cerevisiae S288C"
,,,"YC"
,,"Protein","Y","Saccharomyces cerevisiae S288C"
,,,"ZC"
,,"Protein","AD","Saccharomyces cerevisiae S288C"
,,,"Z"
,,"Protein","AA","Saccharomyces cerevisiae S288C"
,,,"BD"
,,"Protein","BA","Saccharomyces cerevisiae S288C"
,,,"CD"
,,"Protein","CA","Saccharomyces cerevisiae S288C"
,,,"DD"
,,"Protein","DA","Saccharomyces cerevisiae S288C"
,,,"ED"
,,"Protein","FD","Saccharomyces cerevisiae S288C"
,,,"EA"
,,"Protein","FA","Saccharomyces cerevisiae S288C"
,,"Protein","GA","Saccharomyces cerevisiae S288C"
,,,"HD"
,,"Protein","HA","Saccharomyces cerevisiae S288C"
,,,"ID"
,,"Protein","IA","Saccharomyces cerevisiae S288C"
,,,"JD"
,,"RNA","JA","Saccharomyces cerevisiae S288C"
,,,"KD"
,,"RNA","KA","Saccharomyces cerevisiae S288C"
,,,"LD"
,,"RNA","MD","Saccharomyces cerevisiae"
,,,"LA"
,,"Protein","ND","Saccharomyces cerevisiae S288C"
,,,"MA"
,,"Protein","NA","Saccharomyces cerevisiae S288C"
,,,"OD"
,,"Protein","OA","Saccharomyces cerevisiae S288C"
,,,"PD"
,,"Protein","PA","Saccharomyces cerevisiae S288C"
,,,"QD"
,,"Protein","QA","Saccharomyces cerevisiae S288C"
,,,"RD"
,,"Protein","RA","Saccharomyces cerevisiae S288C"
,,,"SD"
,,"Protein","SA","Saccharomyces cerevisiae S288C"
,,,"TD"
,,"Protein","TA","Saccharomyces cerevisiae S288C"
,,,"UD"
,,"Protein","UA","Saccharomyces cerevisiae S288C"
,,,"VD"
,,"Protein","VA","Saccharomyces cerevisiae S288C"
,,,"WD"
,,"Protein","WA","Saccharomyces cerevisiae S288C"
,,,"YD"
,,"Protein","ZD","Saccharomyces cerevisiae S288C"
,,,"XA"
,,"Protein","AE","Saccharomyces cerevisiae S288C"
,,,"YA"
,,"Protein","BE","Saccharomyces cerevisiae S288C"
,,,"ZA"
,,"Protein","AB","Saccharomyces cerevisiae S288C"
,,,"CE"
,,"Protein","BB","Saccharomyces cerevisiae S288C"
,,,"DE"
,,"Protein","CB","Saccharomyces cerevisiae S288C"
,,,"EE"
,,"Protein","DB","Saccharomyces cerevisiae S288C"
,,,"FE"
,,"Protein","EB","Saccharomyces cerevisiae S288C"
,,,"GE"
,,"Protein","FB","Saccharomyces cerevisiae S288C"
,,,"HE"
,,"Protein","GB","Saccharomyces cerevisiae S288C"
,,,"IE"
,,"Protein","HB","Saccharomyces cerevisiae S288C"
,,,"JE"
,,"Protein","KE","Saccharomyces cerevisiae S288C"
,,,"IB"
,,"Protein","JB","Saccharomyces cerevisiae S288C"
,,,"LE"
,,"Protein","KB","Saccharomyces cerevisiae S288C"
,,,"ME"
,,"Protein","LB","Saccharomyces cerevisiae S288C"
,,,"NE"
,,"Protein","MB","Saccharomyces cerevisiae S288C"
,,,"OE"
,,"Protein","PE","Saccharomyces cerevisiae S288C"
,,,"NB"
,,"Protein","OB","Saccharomyces cerevisiae S288C"
,,,"QE"
,,"Protein","PB","Saccharomyces cerevisiae S288C"
,,,"RE"
,,"Protein","QB","Saccharomyces cerevisiae S288C"
,,,"SE"
,,"Protein","RB","Saccharomyces cerevisiae S288C"
,,,"TE"
,,"Protein","SB","Saccharomyces cerevisiae S288C"
,,,"UE"
,,"Protein","TB","Saccharomyces cerevisiae S288C"
,,,"VE"
,,"Protein","UB","Saccharomyces cerevisiae S288C"
,,,"WE"
,,"Protein","VB","Saccharomyces cerevisiae S288C"
,,,"XE"
,,"Protein","WB","Saccharomyces cerevisiae S288C"
,,,"YE"
,,"Protein","XB","Saccharomyces cerevisiae S288C"
,,,"ZE"
,,"Protein","YB","Saccharomyces cerevisiae S288C"
,,,"AF"
,,"Protein","BF","Saccharomyces cerevisiae S288C"
,,,"ZB"
,,"Protein","AC","Saccharomyces cerevisiae S288C"
,,,"CF"
,,"Protein","GD","Saccharomyces cerevisiae S288C"
,,"Protein","XD","Saccharomyces cerevisiae S288C"
,,"Protein","DF","Saccharomyces cerevisiae S288C"
,,"Protein","EF","Saccharomyces cerevisiae S288C"
,,"Protein","FF","Saccharomyces cerevisiae S288C"
"4U4Q","RIBOSOME","RNA","A","Saccharomyces cerevisiae S288C"
,,,"BC"
,,"Protein","B","Saccharomyces cerevisiae S288C"
,,,"CC"
,,"Protein","C","Saccharomyces cerevisiae S288C"
,,,"DC"
,,"Protein","D","Saccharomyces cerevisiae S288C"
,,,"EC"
,,"Protein","FC","Saccharomyces cerevisiae S288C"
,,,"E"
,,"Protein","F","Saccharomyces cerevisiae S288C"
,,,"GC"
,,"Protein","G","Saccharomyces cerevisiae S288C"
,,,"HC"
,,"Protein","H","Saccharomyces cerevisiae S288C"
,,,"IC"
,,"Protein","I","Saccharomyces cerevisiae S288C"
,,,"JC"
,,"Protein","J","Saccharomyces cerevisiae S288C"
,,,"KC"
,,"Protein","K","Saccharomyces cerevisiae S288C"
,,,"LC"
,,"Protein","L","Saccharomyces cerevisiae S288C"
,,,"MC"
,,"Protein","M","Saccharomyces cerevisiae S288C"
,,,"NC"
,,"Protein","N","Saccharomyces cerevisiae S288C"
,,,"OC"
,,"Protein","O","Saccharomyces cerevisiae S288C"
,,,"PC"
,,"Protein","P","Saccharomyces cerevisiae S288C"
,,,"QC"
,,"Protein","Q","Saccharomyces cerevisiae S288C"
,,,"RC"
,,"Protein","R","Saccharomyces cerevisiae S288C"
,,,"SC"
,,"Protein","S","Saccharomyces cerevisiae S288C"
,,,"TC"
,,"Protein","T","Saccharomyces cerevisiae S288C"
,,,"UC"
,,"Protein","VC","Saccharomyces cerevisiae S288C"
,,,"U"
,,"Protein","V","Saccharomyces cerevisiae S288C"
,,,"WC"
,,"Protein","XC","Saccharomyces cerevisiae S288C"
,,,"W"
,,"Protein","X","Saccharomyces cerevisiae S288C"
,,,"YC"
,,"Protein","Y","Saccharomyces cerevisiae S288C"
,,,"ZC"
,,"Protein","AD","Saccharomyces cerevisiae S288C"
,,,"Z"
,,"Protein","AA","Saccharomyces cerevisiae S288C"
,,,"BD"
,,"Protein","BA","Saccharomyces cerevisiae S288C"
,,,"CD"
,,"Protein","CA","Saccharomyces cerevisiae S288C"
,,,"DD"
,,"Protein","ED","Saccharomyces cerevisiae S288C"
,,,"DA"
,,"Protein","EA","Saccharomyces cerevisiae S288C"
,,,"FD"
,,"Protein","FA","Saccharomyces cerevisiae S288C"
,,"Protein","GA","Saccharomyces cerevisiae S288C"
,,,"HD"
,,"Protein","HA","Saccharomyces cerevisiae S288C"
,,,"ID"
,,"Protein","IA","Saccharomyces cerevisiae S288C"
,,,"JD"
,,"RNA","JA","Saccharomyces cerevisiae S288C"
,,,"KD"
,,"RNA","KA","Saccharomyces cerevisiae S288C"
,,,"LD"
,,"RNA","LA","Saccharomyces cerevisiae S288C"
,,,"MD"
,,"Protein","MA","Saccharomyces cerevisiae S288C"
,,,"ND"
,,"Protein","NA","Saccharomyces cerevisiae S288C"
,,,"OD"
,,"Protein","OA","Saccharomyces cerevisiae S288C"
,,,"PD"
,,"Protein","PA","Saccharomyces cerevisiae S288C"
,,,"QD"
,,"Protein","QA","Saccharomyces cerevisiae S288C"
,,,"RD"
,,"Protein","RA","Saccharomyces cerevisiae S288C"
,,,"SD"
,,"Protein","SA","Saccharomyces cerevisiae S288C"
,,,"TD"
,,"Protein","TA","Saccharomyces cerevisiae S288C"
,,,"UD"
,,"Protein","UA","Saccharomyces cerevisiae S288C"
,,,"VD"
,,"Protein","WD","Saccharomyces cerevisiae S288C"
,,,"VA"
,,"Protein","YD","Saccharomyces cerevisiae S288C"
,,,"WA"
,,"Protein","XA","Saccharomyces cerevisiae S288C"
,,,"ZD"
,,"Protein","AE","Saccharomyces cerevisiae S288C"
,,,"YA"
,,"Protein","BE","Saccharomyces cerevisiae S288C"
,,,"ZA"
,,"Protein","AB","Saccharomyces cerevisiae S288C"
,,,"CE"
,,"Protein","DE","Saccharomyces cerevisiae S288C"
,,,"BB"
,,"Protein","EE","Saccharomyces cerevisiae S288C"
,,,"CB"
,,"Protein","DB","Saccharomyces cerevisiae S288C"
,,,"FE"
,,"Protein","EB","Saccharomyces cerevisiae S288C"
,,,"GE"
,,"Protein","FB","Saccharomyces cerevisiae S288C"
,,,"HE"
,,"Protein","GB","Saccharomyces cerevisiae S288C"
,,,"IE"
,,"Protein","HB","Saccharomyces cerevisiae S288C"
,,,"JE"
,,"Protein","IB","Saccharomyces cerevisiae S288C"
,,,"KE"
,,"Protein","JB","Saccharomyces cerevisiae S288C"
,,,"LE"
,,"Protein","KB","Saccharomyces cerevisiae S288C"
,,,"ME"
,,"Protein","LB","Saccharomyces cerevisiae S288C"
,,,"NE"
,,"Protein","OE","Saccharomyces cerevisiae S288C"
,,,"MB"
,,"Protein","NB","Saccharomyces cerevisiae S288C"
,,,"PE"
,,"Protein","OB","Saccharomyces cerevisiae S288C"
,,,"QE"
,,"Protein","PB","Saccharomyces cerevisiae S288C"
,,,"RE"
,,"Protein","SE","Saccharomyces cerevisiae S288C"
,,,"QB"
,,"Protein","RB","Saccharomyces cerevisiae S288C"
,,,"TE"
,,"Protein","SB","Saccharomyces cerevisiae S288C"
,,,"UE"
,,"Protein","TB","Saccharomyces cerevisiae S288C"
,,,"VE"
,,"Protein","UB","Saccharomyces cerevisiae S288C"
,,,"WE"
,,"Protein","VB","Saccharomyces cerevisiae S288C"
,,,"XE"
,,"Protein","WB","Saccharomyces cerevisiae S288C"
,,,"YE"
,,"Protein","XB","Saccharomyces cerevisiae S288C"
,,,"ZE"
,,"Protein","AF","Saccharomyces cerevisiae S288C"
,,,"YB"
,,"Protein","BF","Saccharomyces cerevisiae S288C"
,,,"ZB"
,,"Protein","AC","Saccharomyces cerevisiae S288C"
,,,"CF"
,,"Protein","GD","Saccharomyces cerevisiae S288C"
,,"Protein","XD","Saccharomyces cerevisiae S288C"
,,"Protein","DF","Saccharomyces cerevisiae S288C"
,,"Protein","EF","Saccharomyces cerevisiae S288C"
,,"Protein","FF","Saccharomyces cerevisiae S288C"
"4U4R","RIBOSOME","RNA","BC","Saccharomyces cerevisiae S288C"
,,,"A"
,,"Protein","CC","Saccharomyces cerevisiae S288C"
,,,"B"
,,"Protein","C","Saccharomyces cerevisiae S288C"
,,,"DC"
,,"Protein","D","Saccharomyces cerevisiae S288C"
,,,"EC"
,,"Protein","E","Saccharomyces cerevisiae S288C"
,,,"FC"
,,"Protein","F","Saccharomyces cerevisiae S288C"
,,,"GC"
,,"Protein","G","Saccharomyces cerevisiae S288C"
,,,"HC"
,,"Protein","H","Saccharomyces cerevisiae S288C"
,,,"IC"
,,"Protein","I","Saccharomyces cerevisiae S288C"
,,,"JC"
,,"Protein","J","Saccharomyces cerevisiae S288C"
,,,"KC"
,,"Protein","K","Saccharomyces cerevisiae S288C"
,,,"LC"
,,"Protein","L","Saccharomyces cerevisiae S288C"
,,,"MC"
,,"Protein","M","Saccharomyces cerevisiae S288C"
,,,"NC"
,,"Protein","N","Saccharomyces cerevisiae S288C"
,,,"OC"
,,"Protein","O","Saccharomyces cerevisiae S288C"
,,,"PC"
,,"Protein","P","Saccharomyces cerevisiae S288C"
,,,"QC"
,,"Protein","Q","Saccharomyces cerevisiae S288C"
,,,"RC"
,,"Protein","R","Saccharomyces cerevisiae S288C"
,,,"SC"
,,"Protein","S","Saccharomyces cerevisiae S288C"
,,,"TC"
,,"Protein","T","Saccharomyces cerevisiae S288C"
,,,"UC"
,,"Protein","VC","Saccharomyces cerevisiae S288C"
,,,"U"
,,"Protein","WC","Saccharomyces cerevisiae S288C"
,,,"V"
,,"Protein","W","Saccharomyces cerevisiae S288C"
,,,"XC"
,,"Protein","X","Saccharomyces cerevisiae S288C"
,,,"YC"
,,"Protein","Y","Saccharomyces cerevisiae S288C"
,,,"ZC"
,,"Protein","AD","Saccharomyces cerevisiae S288C"
,,,"Z"
,,"Protein","AA","Saccharomyces cerevisiae S288C"
,,,"BD"
,,"Protein","BA","Saccharomyces cerevisiae S288C"
,,,"CD"
,,"Protein","CA","Saccharomyces cerevisiae S288C"
,,,"DD"
,,"Protein","DA","Saccharomyces cerevisiae S288C"
,,,"ED"
,,"Protein","EA","Saccharomyces cerevisiae S288C"
,,,"FD"
,,"Protein","FA","Saccharomyces cerevisiae S288C"
,,"Protein","GA","Saccharomyces cerevisiae S288C"
,,,"HD"
,,"Protein","ID","Saccharomyces cerevisiae S288C"
,,,"HA"
,,"Protein","IA","Saccharomyces cerevisiae S288C"
,,,"JD"
,,"RNA","KD","Saccharomyces cerevisiae S288C"
,,,"JA"
,,"RNA","KA","Saccharomyces cerevisiae S288C"
,,,"LD"
,,"RNA","LA","Saccharomyces cerevisiae S288C"
,,,"MD"
,,"Protein","MA","Saccharomyces cerevisiae S288C"
,,,"ND"
,,"Protein","NA","Saccharomyces cerevisiae S288C"
,,,"OD"
,,"Protein","OA","Saccharomyces cerevisiae S288C"
,,,"PD"
,,"Protein","PA","Saccharomyces cerevisiae S288C"
,,,"QD"
,,"Protein","QA","Saccharomyces cerevisiae S288C"
,,,"RD"
,,"Protein","SD","Saccharomyces cerevisiae S288C"
,,,"RA"
,,"Protein","TD","Saccharomyces cerevisiae S288C"
,,,"SA"
,,"Protein","UD","Saccharomyces cerevisiae S288C"
,,,"TA"
,,"Protein","UA","Saccharomyces cerevisiae S288C"
